Kabupaten/Kota,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 15-24,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 25-34,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 35-44,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 45-54,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 55-64,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 65+
Bogor,15.85,27.32,24.33,18.85,9.31,4.34
Sukabumi,13.55,21.4,24.12,20.65,13.56,6.71
Cianjur,16.16,20.9,21.86,19.78,12.44,8.85
Bandung,16.2,26.49,22.75,18.18,10.53,5.86
Garut,14.5,22.21,21.32,19.52,12.54,9.9
Tasikmalaya,11.86,19.69,21.31,22.46,15.08,9.59
Ciamis,9.41,15.34,21.87,21.72,18.09,13.57
Kuningan,9.99,21.88,21.57,19.47,15.65,11.44
Cirebon,17.2,23.85,22.7,19.04,11.6,5.61
Majalengka,11.04,21.07,23.16,20.03,13.89,10.82
Sumedang,13.44,19.58,20.56,20.04,15.55,10.83
Indramayu,13.92,22.3,22.72,18.38,14.85,7.83
Subang,12.55,20.94,22.27,20.45,16.17,7.62
Purwakarta,16.49,24.85,22.94,18.11,10.51,7.09
Karawang,13.37,23.57,25.02,18.56,12.28,7.19
Bekasi,15.27,28.41,28.94,15.47,8.63,3.28
Bandung Barat,16.92,23.91,22.31,16.16,12.58,8.12
Pangandaran,11.04,16.76,20.35,21.25,17.8,12.81
Kota Bogor,16.18,27.96,23.48,18.76,9.36,4.27
Kota Sukabumi,13.96,24.05,22.71,20.45,12.13,6.71
Kota Bandung,14.44,25.58,24.25,20.17,10.69,4.87
Kota Cirebon,11.22,25.8,24.79,18.41,13.8,5.98
Kota Bekasi,15.39,27.93,27.58,18.17,8.08,2.85
Kota Depok,13.46,27.99,27.34,18.58,9.89,2.73
Kota Cimahi,14.65,26.84,26.47,18.65,9.72,3.66
Kota Tasikmalaya,15.14,22.74,22.72,19.14,14.19,6.06
Kota Banjar,11.19,18.74,18.46,24.41,17.44,9.77
Jawa Barat,14.5,24.05,23.7,19.05,11.96,6.74
