Kabupaten/Kota,Total,Kretek Filter,Kretek Non Filter,Rokok Putih,Tembakau,Lainnya,Tahun
Bogor,23353.36,17558.21,3284.65,2396.56,6.47,107.47,2022
Sukabumi,24338.88,14089.19,9543.18,649.47,49.35,7.69,2022
Cianjur,21376.38,13170.6,7581.68,271.86,323.59,28.65,2022
Bandung,18753.79,12793.81,5222.85,633.05,85.75,18.33,2022
Garut,20914.05,11442.83,8004.31,1141.75,309.81,15.35,2022
Tasikmalaya,19496.86,9265.68,8045.18,1900.94,252.34,32.72,2022
Ciamis,24834.05,14366.74,8725.94,1601.12,110.34,29.91,2022
Kuningan,21518.97,16643.65,4243,517.96,84.78,29.58,2022
Cirebon,20104.94,17169.38,2585.11,314.11,14.65,21.69,2022
Majalengka,21985.02,17540.67,2971.32,1397.26,40.16,35.61,2022
Sumedang,23483.18,14168.88,8236.71,629.4,297.01,151.17,2022
Indramayu,26615.4,21098.37,5366.86,129.41,3.88,16.88,2022
Subang,24779.09,19641.11,4627.86,370.28,40.35,99.49,2022
Purwakarta,28439.17,19193.06,6386.98,2749.05,36.29,73.8,2022
Karawang,22558.62,18832.77,3246.16,448.48,31.21,-,2022
Bekasi,19668.34,17004.76,1655.87,948.11,41.84,17.76,2022
Bandung Barat,23802.33,14928.9,7881.19,777.72,111.81,102.71,2022
Pangandaran,27300.29,15081.28,9884.5,1974.29,287.46,72.76,2022
Kota Bogor,19255.8,15028.64,1395.21,2730.8,4.2,96.95,2022
Kota Sukabumi,19514.61,12806.21,3744.54,2924.63,12.77,26.46,2022
Kota Bandung,19908.41,16554.11,2078.61,1064.54,21.26,189.89,2022
Kota Cirebon,15859.5,14420.84,1128.15,304.38,6.14,-,2022
Kota Bekasi,17258.17,15084.89,688.55,1455.14,17.79,11.81,2022
Kota Depok,20210.65,15157.01,1786.62,2718.74,40.51,507.77,2022
Kota Cimahi,18367.75,13935.7,2608.38,1513.01,21.11,289.54,2022
Kota Tasikmalaya,17706.2,11813.79,4451.98,1399.78,32.24,8.4,2022
Kota Banjar,21813.79,14899.83,5425.91,1329.75,76.83,81.47,2022
Banjarnegara,18808.68,11029.07,4806.06,838.31,1535.1,600.14,2022
Banjar,17021.08,16235.61,541.46,144.99,-,99.03,2022
Kota Banjarmasin,12389.2,11085.12,679.94,306.65,-,317.49,2022
Kota Banjar Baru,19843.4,18304.73,62.19,931.79,37.69,506.99,2022
Bogor,23997.04,18221.19,5117,413.73,49.97,195.15,2023
Sukabumi,26670.75,16122.79,9564.85,913.12,67.18,2.8,2023
Cianjur,25559.27,14479.8,9729.36,942.36,357.42,50.33,2023
Bandung,25272.77,14775.52,8281.41,2094.74,79.94,41.15,2023
Garut,22598.54,11499.7,9308.83,1254.74,494.92,40.36,2023
Tasikmalaya,23422.04,12301.15,8451.26,2145.61,428.66,95.36,2023
Ciamis,25894.65,12525.73,12223.28,828.73,168.57,148.35,2023
Kuningan,23829.24,16949.31,5662.02,1131.21,66.15,20.56,2023
Cirebon,22736.5,16694.23,5409.86,239.52,67.72,325.18,2023
Majalengka,22707.01,16370.82,4591.34,1651.91,40.4,52.54,2023
Sumedang,25577.48,13095.72,10597.19,1509.49,324.94,50.15,2023
Indramayu,29616.95,23612.13,5994.13,-,-,10.69,2023
Subang,28909.81,21581.47,5674,1583.51,47.23,23.6,2023
Purwakarta,31131.87,20928.29,6582.5,3482.82,94.9,43.36,2023
Karawang,28211.59,21565.96,5854.58,711.3,9.38,70.37,2023
Bekasi,23390.35,19390.1,3149.58,728.59,29.82,92.25,2023
Bandung Barat,22825.94,14831.42,7206.01,634.89,139.37,14.25,2023
Pangandaran,26591.14,14131.69,11033.32,722.33,516.41,187.38,2023
Kota Bogor,24693.06,19433.5,3262.08,1936.04,15.17,46.26,2023
Kota Sukabumi,26550.6,19741.2,3821.01,2864.96,66.89,56.53,2023
Kota Bandung,27121.27,21829.99,3717.05,1078.9,29.15,466.19,2023
Kota Cirebon,18592.6,16878.31,1371.09,-,13.52,329.69,2023
Kota Bekasi,21159.33,16280.51,2347.57,2187.2,31,313.04,2023
Kota Depok,24114.07,18512.44,2365.48,2554.41,60.4,621.34,2023
Kota Cimahi,27575.73,22669.89,2418.08,2308.93,13.15,165.68,2023
Kota Tasikmalaya,23704.9,15294.86,5913.53,2305.09,68.86,122.57,2023
Kota Banjar,23536.25,16298.21,5039.39,2039.94,83.31,75.41,2023
Banjarnegara,19154.38,10120.93,5425.06,1736.47,1364.15,507.77,2023
Banjar,17509.42,15488.6,309.4,1389.81,89.71,231.9,2023
Kota Banjarmasin,9518.13,9019.69,106.26,213.94,34.25,143.99,2023
Kota Banjar Baru,20336.33,18685.11,300.78,1017.39,38.34,294.72,2023
