Wilayah,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya,tahun
Bogor,23997.04,18221.19,5117,413.73,49.97,195.15,2023
Sukabumi,26670.75,16122.79,9564.85,913.12,67.18,2.8,2023
Cianjur,25559.27,14479.8,9729.36,942.36,357.42,50.33,2023
Bandung,25272.77,14775.52,8281.41,2094.74,79.94,41.15,2023
Garut,22598.54,11499.7,9308.83,1254.74,494.92,40.36,2023
Tasikmalaya,23422.04,12301.15,8451.26,2145.61,428.66,95.36,2023
Ciamis,25894.65,12525.73,12223.28,828.73,168.57,148.35,2023
Kuningan,23829.24,16949.31,5662.02,1131.21,66.15,20.56,2023
Cirebon,22736.5,16694.23,5409.86,239.52,67.72,325.18,2023
Majalengka,22707.01,16370.82,4591.34,1651.91,40.4,52.54,2023
Sumedang,25577.48,13095.72,10597.19,1509.49,324.94,50.15,2023
Indramayu,29616.95,23612.13,5994.13,-,-,10.69,2023
Subang,28909.81,21581.47,5674,1583.51,47.23,23.6,2023
Purwakarta,31131.87,20928.29,6582.5,3482.82,94.9,43.36,2023
Karawang,28211.59,21565.96,5854.58,711.3,9.38,70.37,2023
Bekasi,23390.35,19390.1,3149.58,728.59,29.82,92.25,2023
Bandung Barat,22825.94,14831.42,7206.01,634.89,139.37,14.25,2023
Pangandaran,26591.14,14131.69,11033.32,722.33,516.41,187.38,2023
Kota Bogor,24693.06,19433.5,3262.08,1936.04,15.17,46.26,2023
Kota Sukabumi,26550.6,19741.2,3821.01,2864.96,66.89,56.53,2023
Kota Bandung,27121.27,21829.99,3717.05,1078.9,29.15,466.19,2023
Kota Cirebon,18592.6,16878.31,1371.09,-,13.52,329.69,2023
Kota Bekasi,21159.33,16280.51,2347.57,2187.2,31,313.04,2023
Kota Depok,24114.07,18512.44,2365.48,2554.41,60.4,621.34,2023
Kota Cimahi,27575.73,22669.89,2418.08,2308.93,13.15,165.68,2023
Kota Tasikmalaya,23704.9,15294.86,5913.53,2305.09,68.86,122.57,2023
Kota Banjar,23536.25,16298.21,5039.39,2039.94,83.31,75.41,2023
